_ID, TimeSt,Country,Province,City,Latitude,Longitude
4516516,2017-06-21 00:00:00.143,CA,ON,Waterloo,43.49347,-80.49123
4516547,2017-06-21 18:00:00.193,CA,ON,London,42.93990,-81.27090
4516550,2017-06-21 15:00:00.287,CA,ON,Guelph,43.57760,-80.22010
4516600,2017-06-21 15:00:00.307,CA,ON,Stratford,43.37160,-80.97730
4516613,2017-06-21 15:00:00.497,CA,ON,Stratford,43.37160,-80.97730
4516693,2017-06-21 14:00:00.597,CA,ON,Kitchener,43.43810,-80.50990
4516771,2017-06-21 10:00:00.873,CA,ON,Sarnia,42.96100,-82.37300
4516831,2017-06-21 12:00:00.950,CA,ON,London,43.00910,-81.17650
4516915,2017-06-21 15:00:01.310,CA,ON,London,43.00910,-81.17650
4516953,2017-06-21 16:00:01.700,CA,ON,Kitchener,43.42780,-80.51350
4516966,2017-06-21 01:00:01.787,CA,ON,Kitchener,43.43810,-80.50990
4517044,2017-06-21 21:00:00.327,CA,ON,Windsor,42.28250,-83.03720
4517047,2017-06-21 12:00:00.950,CA,ON,London,43.00910,-81.17650
4517081,2017-06-21 22:00:00.753,CA,ON,Windsor,42.24397,-82.98058
4517175,2017-06-21 19:00:01.087,CA,ON,Saint Thomas,42.77920,-81.19270
4517220,2017-06-21 18:00:01.213,CA,ON,Waterloo,43.46340,-80.52010
4517250,2017-06-21 03:00:01.393,CA,ON,Chatham,42.42470,-82.17550
4517303,2017-06-21 03:00:00.287,CA,ON,Windsor,42.29570,-82.95990
4517326,2017-06-21 04:00:00.367,CA,ON,Guelph,43.54250,-80.26760